1,Kent Bazemore,1989-07-01,North Carolina,196,91,Old Domion University,2012-11-09,2
2,Tim Hardaway,1992-03-16,Florida,198,92,University of Michigan,2013-10-30,1
3,Kirk Hinrich,1981-01-02,Iowa,193,86,University of Kansas,2003-11-07,1
4,Justin Holiday,1989-04-05,California,198,83,University of Washington,2003-04-03,1
5,Al Horford,1986-06-03,Michigan,208,111,Univesity of Florida,2007-11-02,1
6,Kris Humphries,1985-02-06,Minnesota,206,106,University of Minnestoa,2004-11-03,1
7,Kyle Korver,1981-03-17,California,201,96,Creighton University,2003-10-28,1
8,Shelvin Mack,1990-07-01,Kentucky,190,92,Butler University,2011-12-26,1
9,Paul Millsap,1985-02-10,Louisiana,203,111,Louisiana Tech University,2005-11-01,1
10,Mike Muscala,1991-07-01,Minnesota,211,108,Bucknell University,2014-03-02,1
11,Lamar Patterson,1991-08-12,Pennsylvania,196,102,University of Pittsburgh,2015-10-27,1
12,Dennis Schroder,1993-09-15,Germany,185,78,,2013-10-30,1
13,Mike Scott,1988-07-16,Virginia,203,107,University of Virginia,2012-11-11,1
14,Thabo Sefolosha,1984-05-02,Switzerland,201,99,,2006-10-31,1
15,Tiago Splitter,1985-01-01,Brazil,211,111,,2010-11-01,1
16,Walter Tavares,1992-03-22,Cape Verde,221,117,,2015-10-29,1
17,Jeff Teague,1988-06-10,Indiana,188,84,Wake Forest University,2009-10-28,1
18,Avery Bradley,1990-11-26,Washington,188,81,University of Texas at Austin,2010-11-22,1
19,Coty Clarke,1002-07-04,Tennessee,201,105,University of Arkansas,2016-03-15,1
20,Jae Crowder,1990-07-06,Georgia,198,106,Marquette University,2012-10-30,1
21,R.J. Hunter,1993-10-24,Ohio,196,83,Georgia State University,2015-11-04,1
22,Jonas Jerebko,1993-10-24,Sweden,208,104,,2009-10-31,1
23,Amir Johnson,1987-03-02,California,206,108,,2006-01-24,1
24,David Lee,1987-05-01,Missouri,206,111,University of Florida,2005-11-06,2
25,Jordan Mickey,1983-04-29,Texas,203,106,Louisiana State University,2015-10-28,1
26,Kelly Olynyk,1994-07-09,Canada,213,107,Gonzaga University,2013-10-30,1
27,Terry Rozier,1991-04-19,Ohio,188,86,University of Louisville,2015-10-28,1
28,Marcus Smart,1994-03-17,Texas,193,99,Oklahoma State University,2014-10-29,1
29,Jared Sullinger,1994-03-06,Ohio,206,117,Ohio State University,2012-10-30,1
30,Isaiah Thomas,1992-03-04,Connecticut,175,83,University of Washington,2011-12-26,2
31,Evan Turner,1988-10-27,Illinois,201,99,Ohio State University,2010-10-27,1
32,James Young,1995-08-16,Michigan,198,97,University of Kentucky,2014-11-01,2
33,Tyler Zeller,1990-01-17,California,214,114,University of North Carolina,2013-10-30,1
34,Andrea Bargnani,1985-10-26,Italy,213,111,,2006-11-01,1
35,Bojan Bogdanovic,1989-04-18,Bosnia and Heregovina,203,96,,2014-10-29,1
36,Markel Brown,1992-01-29,Louisiana,190,86,Oklahoma State University,2014-11-22,1
37,Wayne Ellington,1987-10-29,Pennsylvania,193,90,University of North Carolina,2009-10-28,1
38,Rondae Hollis-Jefferson,1995-01-03,Pennsylvania,201,99,University of Arizona,2015-10-28,2
39,Jarrett Jack,1983-10-28,Maryland,190,90,Georgia Institute of Technology,2005-11-02,1
40,Joe Johnson,1981-06-29,Arkansas,201,108,University of Arkansas,2001-10-30,1
41,Sergey Karasev,1993-10-26,Russia,201,94,,2013-11-02,2
42,Sean Kilpatrick,1990-01-06,New York,193,95,University of Cincinnati,2015-03-19,1
43,Shane Larkin,1992-10-02,Ohio,180,79,University of Miami,2013-11-18,1
44,Brook Lopez,1988-04-01,California,213,124,Stanford University,2008-10-29,1
45,Chris McCullough,1995-02-05,New York,211,90,Syracuse University,2016-02-08,1
46,Willie Reed,1990-05-16,Missouri,209,99,Saint Louis University,2015-12-04,1
47,Thomas Robinson,1991-03-17,District of Columbia,208,107,University of Kansas,2012-10-31,1
48,Henry Sims,1990-03-27,Maryland,208,112,Georgetown University,2013-03-04,1
49,Donald Sloan,1988-01-25,Louisiana,190,92,Texas A&M University,2012-01-11,1
50,Thaddeus Young,1988-06-21,Louisiana,203,100,Georgia Institute of Technology,2007-11-07,2
51,Nicolas Batum,1988-12-14,France,203,90,,2007-10-28,1
52,Troy Daniels,1991-07-15,Virginia,193,92,Virginia Commonwealth University,2014-03-05,1
53,Jorge Gutierrez,1988-12-27,Nevada,190,86,University of California,2014-03-09,1
54,P.J. Hairston,1992-12-24,Virginia,198,104,University of North Carolina,2014-11-04,1
55,Tyler Hansbrough,1985-11-03,Missouri,206,113,University of North Carolina,2009-11-06,1
56,Aaron Harrison,1994-10-28,Texas,198,95,University of Kentucky,2015-11-20,1
57,Spencer Hawes,1988-04-28,Washington,216,111,University of Washington,2007-11-10,1
58,Al Jefferson,1985-01-04,Mississippi,208,131,,2004-11-03,1
59,Frank Kaminsky,1993-04-04,Illinois,213,109,University of Wisconsin,2015-10-28,1
60,Michael Kidd-Gilchrist,1993-09-26,Pennsylvania,201,105,University of Kentucky,2012-11-02,1
61,Jeremy Lamb,1992-05-30,Virginia,196,83,University of Connecticut,2012-11-02,1
62,Courtney Lee,1985-10-03,Indiana,196,90,Western Kentucky University,2008-11-03,1
63,Jeremy Lin,1988-08-23,California,190,90,Harvard University,2010-10-29,1
64,Brian Roberts,1985-12-03,Ohio,185,78,University of Dayton,2012-10-31,1
65,Kemba Walker,1990-05-08,New York,185,78,University of Connecticut,2011-12-26,1
66,Marvin Williams,1986-06-19,Washington,206,107,University of North Carolina,2005-11-02,1
67,Cody Zeller,1992-10-05,Indiana,213,108,Indiana University,2013-10-30,1
68,Cameron Bairstow,1990-12-07,Australia,206,113,University of New Mexico,2014-10-29,1
69,Aaron Brooks,1985-01-14,Washington,183,73,University of Oregon,2007-11-17,1
70,Jimmy Butler,1989-11-14,Texas,201,99,Marquette University,2012-01-01,1
71,Mike Dunleavy,1980-11-15,Texas,206,104,Duke University,2002-10-30,1
72,Cristiano Felicio,1992-07-07,Brazil,208,124,,2015-11-09,1
73,Pau Gasol,1980-07-06,Spain,213,113,,2001-11-01,1
74,Taj Gibson,1985-06-24,New York,206,102,University of Southern California,2009-10-29,1
75,Doug McDermott,1992-01-03,North Dakota,203,102,Creighton University,2014-10-29,1
76,Nikola Mirotic,1991-02-11,Montenegro,208,99,,2014-10-29,1
77,E'Twaun Moore,1989-02-28,Indiana,193,86,Purdue University,2011-12-25,1
78,Joakim Noah,1985-02-25,New York,211,104,University of Florida,2007-11-06,1
79,Bobby Portis,1995-02-10,Arkansas,211,104,University of Arkansas,2015-11-03,1
80,Derrick Rose,1988-10-04,Illinois,190,86,University of Memphis,2008-10-28,1
81,Tony Snell,1991-11-10,California,201,90,University of New Mexico,2013-10-29,1
82,Jared Cunningham,1991-05-22,California,193,88,Oregon State University,2012-10-31,1
83,Matthew Dellavedova,1990-09-08,Australia,193,89,Saint Mary's College of California,2013-11-02,1
84,Channing Frye,1983-05-17,New York,211,115,University of Arizona,2005-11-04,1
85,Joe Harris,1991-09-07,Washington,198,99,University of Virginia,2014-10-31,1
86,Kyrie Irving,1992-03-23,Australia,190,87,Duke University,2011-12-26,1
87,LeBron James,1984-12-30,Ohio,203,113,,2003-10-29,1
88,Richard Jefferson,1980-06-21,California,201,105,University of Arizona,2001-10-30,1
89,Dahntay Jones,1980-12-27,New Jersey,198,102,Duke University,2003-11-21,1
90,James Jones,1980-10-04,Florida,203,98,University of Miami,2003-12-26,1
91,Sasha Kaun,1085-05-08,Russia,211,117,University of Kansas,2015-10-28,1
92,Kevin Love,1988-09-07,Oregon,208,113,University of California Los Angeles,2008-10-29,1
93,Jordan McRae,1991-03-28,Georgia,198,83,University of Tennessee,2016-01-29,1
94,Timofey Mozgov,1986-07-16,Russia,216,124,,2010-10-27,1
95,Iman Shumpert,1990-06-26,Illinois,196,99,Georgia Institute of Technology,2011-12-25,1
96,J.R. Smith,1985-09-09,New Jersey,198,102,,2004-11-03,1
97,Tristan Thompson,1991-03-13,Canada,206,107,University of Texas at Austin,2011-12-26,3
98,Anderson Varejao,1982-09-28,Brazil,208,123,,2004-11-04,1
99,Mo Williams,1982-12-19,Mississippi,185,89,University of Alabama,2003-11-01,1
100,Justin Anderson,1993-11-19,Virginia,198,103,University of Virginia,2015-10-28,2
101,J.J. Barea,1984-06-26,Puerto Rico,183,83,Northeastern University,2006-11-04,1
102,Jeremy Evans,1987-10-24,Arkansas,206,90,Western Kentucky University,2010-10-27,1
103,Raymond Felton,1984-06-26,South Carolina,185,92,University of North Carolina,2005-11-02,1
104,Devin Harris,1983-02-27,Wisconsin,190,87,University of Wisconsin,2004-11-02,1
105,John Jenkins,1991-03-06,Tennessee,193,97,Vanderbilt University,2012-11-11,1
106,Wesley Matthews,1986-10-14,Texas,196,99,Marquette University,2009-10-28,1
107,JaVale McGee,1988-01-19,Michigan,213,122,University of Nevada Reno,2008-10-29,1
108,Salah Mejri,1986-06-15,Tunisia,216,111,,2015-10-28,1
109,Dirk Nowitzki,1978-06-19,Germany,213,111,,1999-02-05,1
110,Zaza Pachulia,1987-11-10,Georgia,211,122,,2003-11-05,1
111,Chandler Parsons,1988-10-25,Florida,208,104,University of Florida,2011-12-29,1
112,Dwight Powell,1991-07-20,Canada,211,108,Stanford University,2014-11-14,1
113,Charlie Villanueva,1984-08-24,New York,211,105,University of Connecticut,2005-11-02,1
114,Deron Williams,1984-06-26,West Virginia,190,90,University of Illinois at Urbana-Champaign,2005-11-02,1
115,Darrell Arthur,1988-03-25,Texas,206,106,University of Kansas,2008-10-29,1
116,D.J. Augustin,1987-11-10,Maryland,198,79,University of Texas at Austin,2012-11-02,1
117,Will Barton,1991-01-06,New Jersey,203,103,University of Memphis,2011-12-28,1
118,Kenneth Faried,1989-11-19,New Jersey,193,96,Morehead State University,2006-11-01,1
119,Randy Foye,1983-10-24,New Jersey,193,96,Villanova University,2006-11-01,1
120,Danilo Gallinari,1988-08-08,Italy,208,102,,2008-10-29,1
121,Erick Green,1991-05-09,California,193,83,Virginia Polytechnic Institute and State University,2014-11-07,1
122,Gary Harris,1994-09-14,Indiana,193,95,Michigan State University,2014-11-14,1
123,J.J. Hickson,1988-09-04,Georgia,206,109,North Carolina State University,2008-10-30,1
124,Nikola Jokic,1995-02-19,Serbia,208,113,,2015-10-28,1
125,Joffrey Lauvergne,1991-09-30,France,211,99,,2015-02-22,1
126,Mike Miller,1980-02-19,South Dakota,203,98,University of Florida,2000-10-31,1
127,Emmanuel Mudiay,1996-03-05,Democratic Republic of the Congo,196,90,,2015-10-28,1
128,Jameer Nelson,1982-02-09,Pennsylvania,183,86,Saint Joseph's University,2004-11-03,1
129,Jusuf Nurkic,1994-08-23,Bosnia and Heregovina,213,127,,2014-10-29,1
130,Kostas Papanikolaou,1990-07-31,Greece,203,102,,2014-10-28,2
131,JaKarr Sampson,1993-03-20,Ohio,206,97,St. John's University,2014-10-29,1
132,Axel Toupane,1992-06-23,France,201,89,,2016-03-04,1
133,Joel Anthony,1982-08-09,Canada,206,111,University of Nevada Las Vegas,2007-11-27,2
134,Aron Baynes,1986-12-09,New Zealand,208,117,Washington State University,2013-01-25,1
135,Steve Blake,1980-02-26,Florida,190,78,University of Maryland,2003-10-29,1
136,Reggie Bullock,1991-03-16,Maryland,201,92,University of North Carolina,2013-10-29,1
137,Kentavious Caldwell-Pope,1993-02-18,Georgia,196,92,University of Georgia,2013-10-30,1
138,Spencer Dinwiddie,1993-04-06,California,198,90,University of Colorado,2014-10-29,1
139,Andre Drummond,1993-08-10,New York,211,126,University of Connecticut,2012-10-31,1
140,Justin Harper,1989-08-30,Virginia,208,102,University of Richmond,2011-12-26,1
141,Tobias Harris,1992-07-15,New York,206,106,University of Tennessee,2012-01-07,1
142,Darrun Hilliard,1993-04-13,Pennsylvania,198,92,Villanova University,2015-11-23,2
143,Ersan Ilyasova,1987-05-15,Turkey,208,106,,2006-11-01,1
144,Reggie Jackson,1990-04-16,Italy,190,94,Boston College,2011-12-31,1
145,Brandon Jennings,1989-09-23,California,185,78,,2009-10-30,2
146,Stanley Johnson,1996-05-19,California,201,111,University of Arizona,2015-10-27,1
147,Jodie Meeks,1987-08-21,Georgia,193,95,University of Kentucky,2009-11-03,1
148,Marcus Morris,1989-09-02,Pennsylvania,206,106,University of Kansas,2011-12-26,1
149,Anthony Tolliver,1985-06-01,Missouri,203,108,Creighton University,2008-11-07,1
150,Leandro Barbosa,1982-11-28,Brazil,190,87,,2003-11-12,1
151,Harrison Barnes,1992-05-30,Iowa,203,95,University of North Carolina,2012-10-31,1
152,Andrew Bogut,1984-11-28,Australia,213,117,University of Utah,2005-11-01,1
153,Ian Clark,1991-03-07,Tennessee,190,79,Belmont University,2013-11-01,1
154,Stephen Curry,1988-03-14,Ohio,190,86,Davidson College,2009-10-28,1
155,Festus Ezeli,1989-10-21,Nigeria,211,115,Vanderbilt University,2012-10-31,1
156,Draymond Green,1990-03-04,Michigan,201,104,Michigan State University,2012-10-31,1
157,Andre Iguodala,1984-01-28,Illinois,198,97,University of Arizona,2004-11-03,1
158,Shaun Livingston,1985-11-11,Illinois,201,87,,2004-11-03,1
159,Kevon Looney,1996-02-06,Wisconsin,206,99,University of California Los Angeles,2016-01-27,1
160,James Michael McAdoo,1993-01-04,Virginia,206,104,University of North Carolina,2015-01-19,1
161,Brandon Rush,1985-07-07,Missouri,198,99,University of Kansas,2008-10-29,1
162,Marreese Speights,1987-08-04,Florida,208,115,University of Florida,2008-10-31,1
163,Jason Thompson,1986-07-21,New Jersey,211,113,Rider University,2008-10-29,1
164,Klay Thompson,1990-02-08,California,201,97,Washington State University,2011-12-25,1
165,Trevor Ariza,1985-06-30,Florida,203,97,University of California Los Angeles,2004-11-03,1
166,Michael Beasley,1989-01-09,Maryland,206,106,Kansas State University,2008-10-29,2
167,Patrick Beverley,1988-07-12,Illinois,285,83,University of Arkansas,2013-01-15,1
168,Corey Brewer,1986-03-05,Tennessee,206,84,University of Florida,2007-11-02,1
169,Clint Capela,1994-05-18,Switzerland,208,108,,2014-11-06,1
170,Sam Dekker,1994-05-06,Wisconsin,206,104,University of Wisconsin,2015-10-28,1
171,Andrew Goudelock,1988-12-07,Georgia,190,90,College of Charleston,2011-12-25,1
172,James Harden,1989-08-26,California,196,99,Arizona State University,2009-10-28,2
173,Montrezl Harrell,1994-01-26,North Carolina,203,108,University of Louisville,2015-10-28,1
174,Chuck Hayes,1983-06-11,California,198,108,University of Kentucky,2006-01-18,1
175,Dwight Howard,1985-12-08,Georgia,211,120,,2004-11-03,1
176,Terrence Jones,1992-01-09,Oregon,206,114,University of Kentucky,2012-11-10,2
177,Ty Lawson,1987-11-03,Maryland,180,88,University of North Carolina,2009-10-28,1
178,K.J. McDaniels,1993-02-09,Alabama,198,92,Clemson University,2014-10-29,1
179,Donatas Motiejunas,1990-09-20,Lithuania,213,100,,2012-11-10,2
180,Josh Smith,1985-12-05,Georgia,206,102,,2004-11-03,2
181,Jason Terry,1977-09-15,Washington,188,83,University of Arizona,1999-11-02,1
182,Marcus Thornton,1987-06-05,Louisiana,193,92,Louisiana State University,2009-11-06,1
183,Lavoy Allen,1989-02-04,Pennsylvania,206,117,Temple University,2012-01-07,1
184,Chase Budinger,1988-05-22,California,201,94,University of Arizona,2013-10-29,1
185,Rakeem Christmas,1991-12-01,New Jersey,206,113,Syracuse University,2016-04-13,1
186,Monta Ellis,1985-10-26,Mississippi,190,83,,2005-11-12,1
187,Paul George,1990-05-02,California,206,99,California State University Fresno,2010-10-27,1
188,George Hill,1986-05-02,Indiana,190,85,Indiana University-Purdue University Indianapolis,2008-11-04,1
189,Jordan Hill,1987-07-27,Georgia,208,106,University of Arizona,2009-10-28,1
190,Solomon Hill,1991-03-18,California,201,102,University of Arizona,2013-10-29,1
191,Ian Mahinmi,1986-11-05,France,211,113,,2007-10-30,1
192,C.J. Miles,1987-04-18,Texas,198,102,,2005-11-14,2
193,Glenn Robinson,1994-01-08,Indiana,198,100,University of Michigan,2014-11-14,1
194,Rodney Stuckey,1986-04-21,Washington,196,95,Eastern Washington University,2007-12-21,1
195,Myles Turner,1996-03-24,Texas,211,110,University of Texas at Austin,2015-10-29,1
196,Shayne Whittington,1991-03-27,Michigan,211,113,Western Michigan University,2014-11-08,1
197,Joe Young,1992-06-27,Texas,188,81,University of Oregon,2015-10-28,1
198,Cole Aldrich,1988-10-31,Minnesota,211,113,University of Kansas,2010-10-31,1
199,Jeff Ayres,1987-04-29,California,206,108,Arizona State University,2009-12-22,1
200,Jamal Crawford,1980-02-19,Washington,196,90,University of Michigan,2000-10-31,1
201,Branden Dawson,1993-04-04,Indiana,198,102,Michigan State University,2015-12-28,1
202,Jeff Green,1986-05-02,Maryland,206,106,Georgetown University,2007-10-31,1
203,Blake Griffin,1989-08-26,Oklahoma,208,113,University of Oklahoma,2010-10-31,1
204,Wesley Johnson,1987-07-11,Texas,201,97,Syracuse University,2010-10-27,1
205,DeAndre Jordan,1988-07-21,Texas,211,120,Texas A&M University,2008-11-01,2
206,Luc Mbah a Moute,1986-09-09,Cameroon,203,104,University of California Los Angeles,2008-10-28,1
207,Chris Paul,1985-05-06,North Carolina,183,79,Wake Forest University,2005-11-01,1
208,Paul Pierce,1977-10-13,California,201,106,University of Kansas,1999-02-05,1
209,Pablo Prigioni,1977-05-17,Argentina,190,83,,2012-11-02,1
210,J.J. Redick,1984-06-24,Tennessee,193,86,Duke University,2006-11-25,1
211,Austin Rivers,1992-08-01,California,193,90,Duke University,2012-10-31,1
212,Lance Stephenson,1990-09-05,New York,196,104,University of Cincinnati,2011-02-27,1
213,Alex Stepheson,1987-08-07,California,208,122,University of Southern California,2016-02-20,1
214,C.J. Wilcox,1990-12-30,Utah,196,88,University of Washington,2014-12-03,1
215,Brandon Bass,1985-04-30,Louisiana,206,113,Louisiana State University,2005-11-01,1
216,Tarik Black,1991-11-22,Tennessee,206,113,University of Kansas,2014-10-28,1
217,Anthony Brown,1992-10-10,California,201,95,Stanford University,2015-10-31,1
218,Kobe Bryant,1978-08-23,Pennsylvania,198,96,,1996-11-03,1
219,Jordan Clarkson,1992-06-07,Florida,196,87,University of Missouri,2014-10-28,1
220,Roy Hibbert,1986-12-11,New York,218,122,Georgetown University,2008-10-29,1
221,Marcelo Huertas,1983-05-25,Brazil,190,90,,2015-10-28,1
222,Ryan Kelly,1991-04-09,New York,211,104,Duke University,2013-11-05,1
223,Larry Nance Jr.,1993-01-01,Ohio,206,104,University of Wyoming,2015-11-06,1
224,Julius Randle,1994-11-29,Texas,206,113,University of Kentucky,2014-10-28,2
225,D'Angelo Russell,1996-02-23,Kentucky,196,88,Ohio State University,2015-10-28,2
226,Robert Sacre,1989-06-06,Louisiana,213,122,Gonzaga University,2012-10-31,1
227,Lou Williams,1986-10-27,Tennessee,185,79,,2005-11-02,1
228,Metta World Peace,1979-11-13,New York,198,117,St. John's University,1999-11-03,1
229,Nick Young,1985-06-01,California,201,95,University of Southern California,2007-10-31,1
230,Chris Andersen,1978-07-07,California,208,111,Blinn College,2001-11-23,1
231,Matt Barnes,1980-03-09,California,201,102,University of California Los Angeles,2004-01-19,1
232,Vince Carter,1977-01-26,Florida,198,99,University of North Carolina,1999-02-05,1
233,Mario Chalmers,1986-05-19,Alaska,188,86,University of Kansas,2008-10-29,1
234,Mike Conley,1987-10-11,Arkansas,185,79,Ohio State University,2007-11-07,2
235,Bryce Cotton,1992-08-11,Arizona,185,74,Providence College,2015-02-27,1
236,James Ennis,1990-07-01,California,201,95,California State University Long Beach,2014-10-29,1
237,Jordan Farmar,1986-11-30,California,188,81,University of California Los Angeles,2006-10-31,1
